,base,cf,cont,delim,epos,extent,form,gdl,gw,id_text,id_word,label,lang,morph,norm,norm0,pos,scope,sense,state,lemma,id_line
191,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.48.3.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.48.3.0'}]",,niektest/P357170,P357170.48.3,o 46,sux,,,,u,,,,x[NA]NA,48
192,u₈,u,, ,N,,u₈,"[{'v': 'u₈', 'id': 'P357170.49.1.0'}]",ewe,niektest/P357170,P357170.49.1,o 47,sux,~,,u,N,,sheep-ewe,,u[ewe]N,49
193,giggi,giggi,, ,V/i,,giggi,"[{'v': 'giggi', 'id': 'P357170.49.2.0'}]",black,niektest/P357170,P357170.49.2,o 47,sux,~,,giggi,V/i,,(to-be)-black,,giggi[black]V/i,49
194,uzud,uzud,, ,N,,uzud,"[{'v': 'uzud', 'id': 'P357170.49.3.0'}]",goat,niektest/P357170,P357170.49.3,o 47,sux,~,,uzud,N,,(female)-goat,,uzud[goat]N,49
195,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.49.4.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.49.4.0'}]",,niektest/P357170,P357170.49.4,o 47,sux,,,,u,,,,x[NA]NA,49
196,ab₂,ab,, ,N,,ab₂,"[{'v': 'ab₂', 'id': 'P357170.50.1.0'}]",cow,niektest/P357170,P357170.50.1,o 48,sux,~,,ab,N,,cow,,ab[cow]N,50
197,kug,kug,, ,V/i,,kug,"[{'v': 'kug', 'id': 'P357170.50.2.0'}]",pure,niektest/P357170,P357170.50.2,o 48,sux,~,,kug,V/i,,pure,,kug[pure]V/i,50
198,ab₂-šilam,abšilam,, ,N,,ab₂-šilam,"[{'v': 'ab₂', 'id': 'P357170.50.3.0', 'delim': '-'}, {'v': 'šilam', 'id': 'P357170.50.3.1', 'break': 'damaged', 'ho': '1', 'hc': '1'}]",cow,niektest/P357170,P357170.50.3,o 48,sux,~,,abšilam,N,,cow,,abšilam[cow]N,50
199,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.50.4.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.50.4.0'}]",,niektest/P357170,P357170.50.4,o 48,sux,,,,u,,,,x[NA]NA,50
200,ma₂,ma,, ,N,,ma₂,"[{'v': 'ma₂', 'id': 'P357170.51.1.0'}]",ship,niektest/P357170,P357170.51.1,o 49,sux,~,,ma,N,,ship-boat,,ma[ship]N,51
201,an,An,-na=n.a, ,DN,,an-na,"[{'v': 'an', 'id': 'P357170.51.2.0', 'delim': '-'}, {'v': 'na', 'id': 'P357170.51.2.1'}]",1,niektest/P357170,P357170.51.2,o 49,sux,"~,ak",,"An,ak",DN,,1,,An[1]DN,51
202,,,, ,,,$GIŠ,"[{'s': 'GIŠ', 'id': 'P357170.51.3.0', 'role': 'sign'}]",,niektest/P357170,P357170.51.3,o 49,sux,,,,u,,,,$GIŠ[NA]NA,51
203,,,, ,,,x,"[{'v': 'x', 'id': 'P357170.51.4.0'}]",,niektest/P357170,P357170.51.4,o 49,sux,,,,u,,,,x[NA]NA,51
204,,,,,,,x-dam,"[{'x': 'ellipsis', 'id': 'P357170.51.5.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.51.5.0', 'delim': '-'}, {'v': 'dam', 'id': 'P357170.51.5.1'}]",,niektest/P357170,P357170.51.5,o 49,sux,,,,u,,,,x-dam[NA]NA,51
205,ki-sikil,kisikil,, ,N,,ki-sikil,"[{'v': 'ki', 'id': 'P357170.52.1.0', 'delim': '-'}, {'v': 'sikil', 'id': 'P357170.52.1.1'}]",woman,niektest/P357170,P357170.52.1,o 50,sux,~,,kisikil,N,,young-woman,,kisikil[woman]N,52
206,{d}inana,Inanak,, ,DN,,{d}inana,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'd', 'id': 'P357170.52.2.0'}]}, {'v': 'inana', 'id': 'P357170.52.2.1'}]",1,niektest/P357170,P357170.52.2,o 50,sux,~,,Inanak,DN,,1,,Inanak[1]DN,52
207,,,, ,,,x,"[{'v': 'x', 'id': 'P357170.52.3.0'}]",,niektest/P357170,P357170.52.3,o 50,sux,,,,u,,,,x[NA]NA,52
208,,,, ,,,x,"[{'x': 'ellipsis', 'id': 'P357170.52.4.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.52.4.0'}]",,niektest/P357170,P357170.52.4,o 50,sux,,,,u,,,,x[NA]NA,52
209,ŋar,ŋar,,,V/t,,mu-u₈-ŋar,"[{'v': 'mu', 'id': 'P357170.52.5.0', 'break': 'damaged', 'ho': '1', 'delim': '-', 'hc': '1'}, {'v': 'u₈', 'id': 'P357170.52.5.1', 'delim': '-'}, {'v': 'ŋar', 'id': 'P357170.52.5.2'}]",place,niektest/P357170,P357170.52.5,o 50,sux,mu.e:~,,mu.e:ŋar,V/t,,to-give-in-place-of-something-replace,,ŋar[place]V/t,52
210,aratta{ki},Aratta,, ,SN,,aratta{ki},"[{'v': 'aratta', 'id': 'P357170.53.1.0'}, {'det': 'semantic', 'pos': 'post', 'seq': [{'v': 'ki', 'id': 'P357170.53.1.1'}]}]",1,niektest/P357170,P357170.53.1,o 51,sux,~,,Aratta,SN,,1,,Aratta[1]SN,53
211,am,am,, ,N,,am-gin₇,"[{'v': 'am', 'id': 'P357170.53.2.0', 'delim': '-'}, {'v': 'gin₇', 'id': 'P357170.53.2.1'}]",bull,niektest/P357170,P357170.53.2,o 51,sux,"~,gin",,"am,gin",N,,wild-bull,,am[bull]N,53
212,si,si,, ,N,,si,"[{'v': 'si', 'id': 'P357170.53.3.0', 'break': 'damaged', 'ho': '1'}]",horn,niektest/P357170,P357170.53.3,o 51,sux,~,,si,N,,horn,,si[horn]N,53
213,tu₁₁,tub,, ,V/t,,bi₂-tu₁₁,"[{'v': 'bi₂', 'id': 'P357170.53.4.0', 'break': 'damaged', 'delim': '-'}, {'v': 'tu₁₁', 'id': 'P357170.53.4.1', 'break': 'damaged', 'hc': '1'}]",strike,niektest/P357170,P357170.53.4,o 51,sux,ba.i:~,,ba.i:tub,V/t,,to-strike-strike-down,,tub[strike]V/t,53
214,,,, ,,,x,"[{'v': 'x', 'id': 'P357170.53.5.0'}]",,niektest/P357170,P357170.53.5,o 51,sux,,,,u,,,,x[NA]NA,53
215,,,, ,,,x,"[{'v': 'x', 'id': 'P357170.53.6.0'}]",,niektest/P357170,P357170.53.6,o 51,sux,,,,u,,,,x[NA]NA,53
216,,,, ,,,x-a,"[{'v': 'x', 'id': 'P357170.53.7.0', 'delim': '-'}, {'v': 'a', 'id': 'P357170.53.7.1', 'break': 'damaged', 'ho': '1', 'hc': '1'}]",,niektest/P357170,P357170.53.7,o 51,sux,,,,u,,,,x-a[NA]NA,53
217,bala,bala,,,V/t,,mi-ni-bala,"[{'v': 'mi', 'id': 'P357170.53.8.0', 'delim': '-'}, {'v': 'ni', 'id': 'P357170.53.8.1', 'delim': '-'}, {'v': 'bala', 'id': 'P357170.53.8.2'}]",turn,niektest/P357170,P357170.53.8,o 51,sux,mu.ni.e:~,,mu.ni.e:bala,V/t,,turn,,bala[turn]V/t,53
218,ki,ki,, ,N,,ki,"[{'v': 'ki', 'id': 'P357170.54.1.0'}]",place,niektest/P357170,P357170.54.1,o 52,sux,~,,ki,N,,ground-earth-land,,ki[place]N,54
219,unug{ki},Unug,-ga=g.a, ,SN,,unug{ki}-ga,"[{'v': 'unug', 'id': 'P357170.54.2.0'}, {'det': 'semantic', 'pos': 'post', 'delim': '-', 'seq': [{'v': 'ki', 'id': 'P357170.54.2.1'}]}, {'v': 'ga', 'id': 'P357170.54.2.2'}]",1,niektest/P357170,P357170.54.2,o 52,sux,"~,a",,"Unug,a",SN,,1,,Unug[1]SN,54
220,ki-gal,kigal,, ,N,,ki-gal-zu,"[{'v': 'ki', 'id': 'P357170.54.3.0', 'delim': '-'}, {'v': 'gal', 'id': 'P357170.54.3.1', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.54.3.2'}]",platform,niektest/P357170,P357170.54.3,o 52,sux,"~,zu",,"kigal,zu",N,,platform,,kigal[platform]N,54
221,dub,dub,, ,V/t,,ba-e-dub,"[{'v': 'ba', 'id': 'P357170.54.4.0', 'delim': '-'}, {'v': 'e', 'id': 'P357170.54.4.1', 'delim': '-'}, {'v': 'dub', 'id': 'P357170.54.4.2'}]",heap,niektest/P357170,P357170.54.4,o 52,sux,ba.e:~,,ba.e:dub,V/t,,heap,,dub[heap]V/t,54
222,šer₇-da,šerda,, ,N,,šer₇-da,"[{'v': 'šer₇', 'id': 'P357170.54.5.0', 'delim': '-'}, {'v': 'da', 'id': 'P357170.54.5.1'}]",crime,niektest/P357170,P357170.54.5,o 52,sux,~,,šerda,N,,crime,,šerda[crime]N,54
223,mah,mah,, ,V/i,,mah,"[{'v': 'mah', 'id': 'P357170.54.6.0'}]",great,niektest/P357170,P357170.54.6,o 52,sux,~,,mah,V/i,,great,,mah[great]V/i,54
224,ŋar,ŋar,,,V/t,,bi₂-ŋar,"[{'v': 'bi₂', 'id': 'P357170.54.7.0', 'delim': '-'}, {'v': 'ŋar', 'id': 'P357170.54.7.1'}]",place,niektest/P357170,P357170.54.7,o 52,sux,ba.i:~,,ba.i:ŋar,V/t,,to-give-in-place-of-something-replace,,ŋar[place]V/t,54
225,ebih{ki},Ebih,, ,SN,,ebih{ki}-a,"[{'v': 'ebih', 'id': 'P357170.55.1.0'}, {'det': 'semantic', 'pos': 'post', 'delim': '-', 'seq': [{'v': 'ki', 'id': 'P357170.55.1.1'}]}, {'v': 'a', 'id': 'P357170.55.1.2'}]",1,niektest/P357170,P357170.55.1,o 53,sux,"~,a",,"Ebih,a",SN,,1,,Ebih[1]SN,55
226,kiri₃,kiri,, ,N,,kiri₃,"[{'v': 'kiri₃', 'id': 'P357170.55.2.0'}]",nose,niektest/P357170,P357170.55.2,o 53,sux,~,,kiri,N,,nose,,kiri[nose]N,55
227,ki,ki,, ,N,,ki,"[{'v': 'ki', 'id': 'P357170.55.3.0'}]",place,niektest/P357170,P357170.55.3,o 53,sux,~,,ki,N,,ground-earth-land,,ki[place]N,55
228,su-ub,sub,, ,V/t,,su-ub,"[{'v': 'su', 'id': 'P357170.55.4.0', 'delim': '-'}, {'v': 'ub', 'id': 'P357170.55.4.1'}]",rub,niektest/P357170,P357170.55.4,o 53,sux,~,,sub,V/t,,to-rub,,sub[rub]V/t,55
229,ak,ak,, ,V/t,,nu-mu-ra-ab-ak,"[{'v': 'nu', 'id': 'P357170.55.5.0', 'delim': '-'}, {'v': 'mu', 'id': 'P357170.55.5.1', 'delim': '-'}, {'v': 'ra', 'id': 'P357170.55.5.2', 'delim': '-'}, {'v': 'ab', 'id': 'P357170.55.5.3', 'delim': '-'}, {'v': 'ak', 'id': 'P357170.55.5.4'}]",do,niektest/P357170,P357170.55.5,o 53,sux,nu.mu.ra.b:~,,nu.mu.ra.b:ak,V/t,,do,,ak[do]V/t,55
230,ni₂,ni,, ,RP,,ni₂-bi,"[{'v': 'ni₂', 'id': 'P357170.55.6.0', 'delim': '-'}, {'v': 'bi', 'id': 'P357170.55.6.1'}]",self,niektest/P357170,P357170.55.6,o 53,sux,"~,bi",,"ni,bi",RP,,self,,ni[self]RP,55
231,zig₃,zig,,,V/t,,nu-mu-ši-ib-zig₃,"[{'v': 'nu', 'id': 'P357170.55.7.0', 'delim': '-'}, {'v': 'mu', 'id': 'P357170.55.7.1', 'delim': '-'}, {'v': 'ši', 'id': 'P357170.55.7.2', 'delim': '-'}, {'v': 'ib', 'id': 'P357170.55.7.3', 'delim': '-'}, {'v': 'zig₃', 'id': 'P357170.55.7.4'}]",rise,niektest/P357170,P357170.55.7,o 53,sux,nu.mu.ši.b:~,,nu.mu.ši.b:zig,V/t,,rise,,zig[rise]V/t,55
232,ka,kag,, ,N,,ka,"[{'v': 'ka', 'id': 'P357170.56.1.0'}]",mouth,niektest/P357170,P357170.56.1,o 54,sux,~,,kag,N,,mouth,,kag[mouth]N,56
233,bar₇,bar,, ,AJ,,bar₇-ra,"[{'v': 'bar₇', 'id': 'P357170.56.2.0', 'delim': '-'}, {'v': 'ra', 'id': 'P357170.56.2.1'}]",burn,niektest/P357170,P357170.56.2,o 54,sux,~;a,,bar;a,V/t,,burn,,bar[burn]V/t,56
234,šag₄,šag,, ,N,,šag₄-ba,"[{'v': 'šag₄', 'id': 'P357170.56.3.0', 'delim': '-'}, {'v': 'ba', 'id': 'P357170.56.3.1'}]",heart,niektest/P357170,P357170.56.3,o 54,sux,"~,bi.ak",,"šag,bi.ak",N,,heart,,šag[heart]N,56
235,izi,izi,, ,N,,izi,"[{'v': 'izi', 'id': 'P357170.56.4.0'}]",fire,niektest/P357170,P357170.56.4,o 54,sux,~,,izi,N,,fire,,izi[fire]N,56
236,RI,ri,, ,V/t,,mi-ni-ri,"[{'v': 'mi', 'id': 'P357170.56.5.0', 'delim': '-'}, {'v': 'ni', 'id': 'P357170.56.5.1', 'delim': '-'}, {'v': 'ri', 'id': 'P357170.56.5.2'}]",impose,niektest/P357170,P357170.56.5,o 54,sux,mu.i:~,,mu.i:ri,V/t,,to-impose,,ri[impose]V/t,56
237,ni₂,ni,, ,RP,,ni₂-bi-a,"[{'v': 'ni₂', 'id': 'P357170.56.6.0', 'delim': '-'}, {'v': 'bi', 'id': 'P357170.56.6.1', 'delim': '-'}, {'v': 'a', 'id': 'P357170.56.6.2'}]",self,niektest/P357170,P357170.56.6,o 54,sux,"~,bi.a",,"ni,bi.a",RP,,self,,ni[self]RP,56
238,dub,dub,,,V/t,,mi-ni-dub,"[{'v': 'mi', 'id': 'P357170.56.7.0', 'delim': '-'}, {'v': 'ni', 'id': 'P357170.56.7.1', 'delim': '-'}, {'v': 'dub', 'id': 'P357170.56.7.2'}]",heap,niektest/P357170,P357170.56.7,o 54,sux,mu.ni.e:~,,mu.ni.e:dub,V/t,,heap,,dub[heap]V/t,56
239,ŋeš,ŋeš,, ,N,,ŋeš,"[{'v': 'ŋeš', 'id': 'P357170.57.1.0'}]",tree,niektest/P357170,P357170.57.1,o 55,sux,~,,ŋeš,N,,wood,,ŋeš[tree]N,57
240,mah,mah,, ,V/i,,mah,"[{'v': 'mah', 'id': 'P357170.57.2.0'}]",great,niektest/P357170,P357170.57.2,o 55,sux,~,,mah,V/i,,great,,mah[great]V/i,57
241,gurun,gurun,, ,N,,gurun-ba,"[{'v': 'gurun', 'id': 'P357170.57.3.0', 'delim': '-'}, {'v': 'ba', 'id': 'P357170.57.3.1'}]",fruit,niektest/P357170,P357170.57.3,o 55,sux,"~,bi.ak",,"gurun,bi.ak",N,,fruit-flower,,gurun[fruit]N,57
242,šu,šu,, ,N,,šu,"[{'v': 'šu', 'id': 'P357170.57.4.0'}]",hand,niektest/P357170,P357170.57.4,o 55,sux,~,,šu,N,,hand,,šu[hand]N,57
243,bala,bala,, ,V/t,,bi₂-ib₂-bala,"[{'v': 'bi₂', 'id': 'P357170.57.5.0', 'delim': '-'}, {'v': 'ib₂', 'id': 'P357170.57.5.1', 'delim': '-'}, {'v': 'bala', 'id': 'P357170.57.5.2'}]",turn,niektest/P357170,P357170.57.5,o 55,sux,ba.V.b:~,,ba.V.b:bala,V/t,,turn,,bala[turn]V/t,57
244,{u₂}a-nir,anir,, ,N,,{u₂}a-nir,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'u₂', 'id': 'P357170.57.6.0'}]}, {'v': 'a', 'id': 'P357170.57.6.1', 'delim': '-'}, {'v': 'nir', 'id': 'P357170.57.6.2'}]",grass,niektest/P357170,P357170.57.6,o 55,sux,~,,anir,N,,a-grass,,anir[grass]N,57
245,mu₂,mu,,,V/t,,bi₂-mu₂,"[{'v': 'bi₂', 'id': 'P357170.57.7.0', 'delim': '-'}, {'v': 'mu₂', 'id': 'P357170.57.7.1'}]",grow,niektest/P357170,P357170.57.7,o 55,sux,ba.i:~,,ba.i:mu,V/t,,to-grow,,mu[grow]V/t,57
246,ama-nam-tag,Amanamtag,, ,PN,,ama-nam-tag,"[{'v': 'ama', 'id': 'P357170.58.1.0', 'delim': '-'}, {'v': 'nam', 'id': 'P357170.58.1.1', 'delim': '-'}, {'v': 'tag', 'id': 'P357170.58.1.2'}]",1,niektest/P357170,P357170.58.1,o 56,sux,~,,Amanamtag,PN,,1,,Amanamtag[1]PN,58
247,ki-sikil,kisikil,, ,N,,ki-sikil,"[{'v': 'ki', 'id': 'P357170.58.2.0', 'delim': '-'}, {'v': 'sikil', 'id': 'P357170.58.2.1'}]",woman,niektest/P357170,P357170.58.2,o 56,sux,~,,kisikil,N,,young-woman,,kisikil[woman]N,58
248,ŋi₆-par₄,ŋipar,, ,N,,ŋi₆-par₄-zu,"[{'v': 'ŋi₆', 'id': 'P357170.58.3.0', 'delim': '-'}, {'v': 'par₄', 'id': 'P357170.58.3.1', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.58.3.2'}]",cloister,niektest/P357170,P357170.58.3,o 56,sux,"~,zu",,"ŋipar,zu",N,,cloister,,ŋipar[cloister]N,58
249,hi-li,hili,, ,N,,hi-li,"[{'v': 'hi', 'id': 'P357170.58.4.0', 'delim': '-'}, {'v': 'li', 'id': 'P357170.58.4.1'}]",attractiveness,niektest/P357170,P357170.58.4,o 56,sux,~,,hili,N,,attractiveness-sex-appeal,,hili[attractiveness]N,58
250,teŋ₄,teŋ,,,V/i,,mu-e-ši-in-ti-a,"[{'v': 'mu', 'id': 'P357170.58.5.0', 'delim': '-'}, {'v': 'e', 'id': 'P357170.58.5.1', 'delim': '-'}, {'v': 'ši', 'id': 'P357170.58.5.2', 'delim': '-'}, {'v': 'in', 'id': 'P357170.58.5.3', 'delim': '-'}, {'v': 'ti', 'id': 'P357170.58.5.4', 'delim': '-'}, {'v': 'a', 'id': 'P357170.58.5.5'}]",approach,niektest/P357170,P357170.58.5,o 56,sux,mu.e.ši.n:~;a,,mu.e.ši.n:teŋ;a,V/i,,approach,,teŋ[approach]V/i,58
251,su-din{mušen],sudin,, ,N,,su-din{mušen}-gin₇,"[{'v': 'su', 'id': 'P357170.59.1.0', 'delim': '-'}, {'v': 'din', 'id': 'P357170.59.1.1'}, {'det': 'semantic', 'pos': 'post', 'delim': '-', 'seq': [{'v': 'mušen', 'id': 'P357170.59.1.2'}]}, {'v': 'gin₇', 'id': 'P357170.59.1.3'}]",bat,niektest/P357170,P357170.59.1,o 57,sux,"~,gin₇",,"sudin,gin₇",N,,bat,,sudin[bat]N,59
252,du₁₀,dud,-d·e₃, ,N,,du₁₀-de₃,"[{'v': 'du₁₀', 'id': 'P357170.59.2.0', 'delim': '-'}, {'v': 'de₃', 'id': 'P357170.59.2.1'}]",mound,niektest/P357170,P357170.59.2,o 57,sux,"~,e",,"dud,e",N,,crevice,,dud[mound]N,59
253,kušum,kušum,, ,N,,kušum,"[{'v': 'kušum', 'id': 'P357170.59.3.0', 'statusStart': 'P357170.59.3.0', 'o': '>'}]",cvne,niektest/P357170,P357170.59.3,o 57,sux,~,,kušum,N,,(compound-verb-nominal-element),,kušum[cvne]N,59
254,tag,tag,, ,V/t,,im-mi-in-tag,"[{'v': 'im', 'id': 'P357170.59.4.0', 'delim': '-'}, {'v': 'mi', 'id': 'P357170.59.4.1', 'delim': '-'}, {'v': 'in', 'id': 'P357170.59.4.2', 'delim': '-'}, {'v': 'tag', 'id': 'P357170.59.4.3'}]",touch,niektest/P357170,P357170.59.4,o 57,sux,imma.V.n:~,,imma.V.n:tag,V/t,,touch,,tag[touch]V/t,59
255,,,, ,,,$IM,"[{'s': 'IM', 'id': 'P357170.59.5.0', 'role': 'sign'}]",,niektest/P357170,P357170.59.5,o 57,sux,,,,u,,,,$IM[NA]NA,59
256,,,, ,,,x,"[{'v': 'x', 'id': 'P357170.59.6.0'}]",,niektest/P357170,P357170.59.6,o 57,sux,,,,u,,,,x[NA]NA,59
257,,,, ,,,x,"[{'v': 'x', 'id': 'P357170.59.7.0'}]",,niektest/P357170,P357170.59.7,o 57,sux,,,,u,,,,x[NA]NA,59
258,,,,,,,x-ni-dub,"[{'v': 'x', 'id': 'P357170.59.8.0', 'delim': '-'}, {'v': 'ni', 'id': 'P357170.59.8.1', 'delim': '-'}, {'v': 'dub', 'id': 'P357170.59.8.2'}]",,niektest/P357170,P357170.59.8,o 57,sux,,,,u,,,,x-ni-dub[NA]NA,59
259,{d}inana,Inanak,, ,DN,,{d}inana,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'd', 'id': 'P357170.60.1.0'}]}, {'v': 'inana', 'id': 'P357170.60.1.1'}]",1,niektest/P357170,P357170.60.1,o 58,sux,~,,Inanak,DN,,1,,Inanak[1]DN,60
260,ur-saŋ,ursaŋ,, ,N,,ur-saŋ,"[{'v': 'ur', 'id': 'P357170.60.2.0', 'delim': '-'}, {'v': 'saŋ', 'id': 'P357170.60.2.1'}]",hero,niektest/P357170,P357170.60.2,o 58,sux,~,,ursaŋ,N,,hero,,ursaŋ[hero]N,60
261,dab₅,dab,, ,V/t,,dab₅-ba-zu,"[{'v': 'dab₅', 'id': 'P357170.60.3.0', 'delim': '-'}, {'gg': 'correction', 'gdl_type': 'correction', 'delim': '-', 'group': [{'v': 'ba', 'id': 'P357170.60.3.1', 'gdl_remarked': '1'}, {'s': 'ZU'}]}, {'v': 'zu', 'id': 'P357170.60.3.2'}]",seize,niektest/P357170,P357170.60.3,o 58,sux,"~;a,zu",,"dab;a,zu",V/t,,seize,,dab[seize]V/t,60
262,niŋ₂,niŋ,, ,N,,niŋ₂-zu,"[{'v': 'niŋ₂', 'id': 'P357170.60.4.0', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.60.4.1'}]",thing,niektest/P357170,P357170.60.4,o 58,sux,"~,zu",,"niŋ,zu",N,,thing,,niŋ[thing]N,60
263,a-ba,aba,, ,QP,,a-ba,"[{'v': 'a', 'id': 'P357170.60.5.0', 'delim': '-'}, {'v': 'ba', 'id': 'P357170.60.5.1'}]",who?,niektest/P357170,P357170.60.5,o 58,sux,~,,aba,QP,,who?,,aba[who?]QP,60
264,zu,zu,,,V/t,,a-zu,"[{'v': 'a', 'id': 'P357170.60.6.0', 'breakStart': '1', 'o': '[', 'break': 'missing', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.60.6.1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.60.6.0'}]",know,niektest/P357170,P357170.60.6,o 58,sux,a:~,,a:zu,V/t,,know,,zu[know]V/t,60
265,{d}a-nun-na-k·e₄,Anuna,, ,DN,,{d}a-nun-na-ke₄-ne,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'd', 'id': 'P357170.62.1.0'}]}, {'v': 'a', 'id': 'P357170.62.1.1', 'delim': '-'}, {'v': 'nun', 'id': 'P357170.62.1.2', 'delim': '-'}, {'v': 'na', 'id': 'P357170.62.1.3', 'delim': '-'}, {'v': 'ke₄', 'id': 'P357170.62.1.4', 'delim': '-'}, {'v': 'ne', 'id': 'P357170.62.1.5'}]",1,niektest/P357170,P357170.62.1,r 59,sux,"~,ene",,"Anuna,ene",DN,,1,,Anuna[1]DN,62
266,aga₃-kar₂,agakar,, ,N,,aga₃-kar₂,"[{'v': 'aga₃', 'id': 'P357170.62.2.0', 'break': 'damaged', 'ho': '1', 'delim': '-'}, {'v': 'kar₂', 'id': 'P357170.62.2.1', 'break': 'damaged'}]",conquest,niektest/P357170,P357170.62.2,r 59,sux,~,,agakar,N,,conquest,,agakar[conquest]N,62
267,sig₁₀,sig,, ,V/t,,bi₂-sig₁₀,"[{'v': 'bi₂', 'id': 'P357170.62.3.0', 'break': 'damaged', 'delim': '-'}, {'v': 'sig₁₀', 'id': 'P357170.62.3.1', 'break': 'damaged'}]",put,niektest/P357170,P357170.62.3,r 59,sux,ba.V:~,,ba.V:sig,V/t,,put,,sig[put]V/t,62
268,šid,šid,, ,N,,šid-bi,"[{'v': 'šid', 'id': 'P357170.62.4.0', 'break': 'damaged', 'delim': '-', 'hc': '1'}, {'v': 'bi', 'id': 'P357170.62.4.1'}]",count,niektest/P357170,P357170.62.4,r 59,sux,"~;*a,bi",,"šid;*a,bi",V/t,,count(ing),,šid[count]V/t,62
269,a-ba,aba,, ,QP,,a-ba-a,"[{'v': 'a', 'id': 'P357170.62.5.0', 'delim': '-'}, {'v': 'ba', 'id': 'P357170.62.5.1', 'delim': '-'}, {'v': 'a', 'id': 'P357170.62.5.2'}]",who?,niektest/P357170,P357170.62.5,r 59,sux,"~,a",,"aba,a",QP,,who?,,aba[who?]QP,62
270,,,,,,,mu-x-zu,"[{'v': 'mu', 'id': 'P357170.62.6.0', 'delim': '-'}, {'x': 'ellipsis', 'id': 'P357170.62.6.1', 'breakStart': '1', 'break': 'missing', 'o': '[', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.62.6.2', 'queried': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.62.6.1'}]",,niektest/P357170,P357170.62.6,r 59,sux,,,,u,,,,mu-x-zu[NA]NA,62
271,ŋeš-gi₄-ŋal₂,ŋešgiŋal,,,N,,ŋeš-gi₄-ŋal₂-bi-im,"[{'v': 'ŋeš', 'id': 'P357170.63.1.0', 'delim': '-'}, {'v': 'gi₄', 'id': 'P357170.63.1.1', 'delim': '-'}, {'v': 'ŋal₂', 'id': 'P357170.63.1.2', 'delim': '-'}, {'v': 'bi', 'id': 'P357170.63.1.3', 'delim': '-'}, {'v': 'im', 'id': 'P357170.63.1.4'}]",notation,niektest/P357170,P357170.63.1,r 59a,sux,"~,bi.am",,"ŋešgiŋal,bi.am",N,,a-musical-refrain,,ŋešgiŋal[notation]N,63
272,ud,ud,, ,N,,ud,"[{'v': 'ud', 'id': 'P357170.64.1.0'}]",sun,niektest/P357170,P357170.64.1,r 60,sux,~,,ud,N,,day,,ud[sun]N,64
273,,,, ,,,7,"[{'n': 'n', 'sexified': '7(diš)', 'form': '7', 'id': 'P357170.64.2.0', 'seq': [{'r': '7'}]}]",,niektest/P357170,P357170.64.2,r 60,sux,,,,n,,,,7[NA]NA,64
274,u₄-sakar,usakar,, ,N,,u₄-sakar,"[{'v': 'u₄', 'id': 'P357170.64.3.0', 'delim': '-'}, {'v': 'sakar', 'id': 'P357170.64.3.1'}]",moon,niektest/P357170,P357170.64.3,r 60,sux,~,,usakar,N,,moon,,usakar[moon]N,64
275,šu,šu,, ,N,,šu,"[{'v': 'šu', 'id': 'P357170.64.4.0'}]",hand,niektest/P357170,P357170.64.4,r 60,sux,~,,šu,N,,hand,,šu[hand]N,64
276,du₇,du,, ,V/t,,du₇-a,"[{'v': 'du₇', 'id': 'P357170.64.5.0', 'delim': '-'}, {'v': 'a', 'id': 'P357170.64.5.1'}]",push,niektest/P357170,P357170.64.5,r 60,sux,~;a,,du;a,V/t,,to-push-thrust-gore,,du[push]V/t,64
277,itud,itud,, ,N,,itud,"[{'v': 'itud', 'id': 'P357170.64.6.0'}]",moon,niektest/P357170,P357170.64.6,r 60,sux,~,,itud,N,,moon,,itud[moon]N,64
278,sa₂,sa,, ,N,,sa₂,"[{'v': 'sa₂', 'id': 'P357170.64.7.0'}]",advice,niektest/P357170,P357170.64.7,r 60,sux,~,,sa,N,,advice-counsel,,sa[advice]N,64
